engine,strategy,cell_id,clock,slip_bp_per_side,fee_schedule,start,end,access,bar_label_semantics,daily_entry_source,final_equity,total_return,max_drawdown,within_engine_rank,status,artifact_dir,note
ModeB,r1_n1,clock_next_open_fullstrat,next_tradable_open_research,0,DEFAULT_SCHEDULE=BILATERAL_10BP,20260825,20260909,qlib_bin_1min,lake_index_is_bar_start_wallclock,aggregated_from_1min_none_lineage,1100000000.0,0.0,0.0,1,OK,D:\exports\batch4_fullstrat_hooks_d_20260921b\core\runner_artifacts\clock_next_open_fullstrat\modeb_20260825_20260909,top_by_total_return_within_modeb_grid; oracle excluded from this row
ModeB,livermore_l2_stale8_y10,slip_5bp_fullstrat,production_default,5,DEFAULT_SCHEDULE=BILATERAL_10BP,20260825,20260909,qlib_bin_1min,lake_index_is_bar_start_wallclock,aggregated_from_1min_none_lineage,1099568890.0783827,-0.0003919181105611541,0.0006548533980148803,1,OK,D:\exports\batch4_fullstrat_hooks_d_20260921b\core\runner_artifacts\slip_5bp_fullstrat\modeb_20260825_20260909,top_by_total_return_within_modeb_grid; oracle excluded from this row
ModeB,r2_x5_yinf_n8,slip_10bp_fullstrat,production_default,10,DEFAULT_SCHEDULE=BILATERAL_10BP,20260825,20260909,qlib_bin_1min,lake_index_is_bar_start_wallclock,aggregated_from_1min_none_lineage,1099544407.5191047,-0.0004141749826320735,0.0005723236028580957,1,OK,D:\exports\batch4_fullstrat_hooks_d_20260921b\core\runner_artifacts\slip_10bp_fullstrat\modeb_20260825_20260909,top_by_total_return_within_modeb_grid; oracle excluded from this row
ModeB,r2_x10_yinf_n10,slip_20bp_fullstrat,production_default,20,DEFAULT_SCHEDULE=BILATERAL_10BP,20260825,20260909,qlib_bin_1min,lake_index_is_bar_start_wallclock,aggregated_from_1min_none_lineage,1099473750.7751617,-0.0004784083862165971,0.0007887034726634252,1,OK,D:\exports\batch4_fullstrat_hooks_d_20260921b\core\runner_artifacts\slip_20bp_fullstrat\modeb_20260825_20260909,top_by_total_return_within_modeb_grid; oracle excluded from this row
