engine,strategy,cell_id,clock,slip_bp_per_side,fee_schedule,start,end,access,bar_label_semantics,daily_entry_source,final_equity,total_return,max_drawdown,within_engine_rank,status,artifact_dir,note
Book,version10,clock_next_open_fullstrat,next_tradable_open_research,0,DEFAULT_SCHEDULE=BILATERAL_10BP,20260825,20260909,qlib_bin_1min,lake_index_is_bar_start_wallclock,n/a_book_pool_day_close_chase,21000193.269587517,9.203313691363846e-06,-3.2660913105164724e-06,1,OK,D:\exports\batch4_fullstrat_hooks_d_20260921b\v10\runner_artifacts\clock_next_open_fullstrat\book_version10_20260825_20260909,H2_Q2_research_replay; UNFILLED and all-cash NAV valid
Book,version10,slip_5bp_fullstrat,production_default,5,DEFAULT_SCHEDULE=BILATERAL_10BP,20260825,20260909,qlib_bin_1min,lake_index_is_bar_start_wallclock,n/a_book_pool_day_close_chase,21015696.33937717,0.0007474447322461941,-0.0014266530880640005,1,OK,D:\exports\batch4_fullstrat_hooks_d_20260921b\v10\runner_artifacts\slip_5bp_fullstrat\book_version10_20260825_20260909,H2_Q2_research_replay; UNFILLED and all-cash NAV valid
Book,version10,slip_10bp_fullstrat,production_default,10,DEFAULT_SCHEDULE=BILATERAL_10BP,20260825,20260909,qlib_bin_1min,lake_index_is_bar_start_wallclock,n/a_book_pool_day_close_chase,21008914.105951127,0.00042448123576788177,-0.0015216375303468421,1,OK,D:\exports\batch4_fullstrat_hooks_d_20260921b\v10\runner_artifacts\slip_10bp_fullstrat\book_version10_20260825_20260909,H2_Q2_research_replay; UNFILLED and all-cash NAV valid
Book,version10,slip_20bp_fullstrat,production_default,20,DEFAULT_SCHEDULE=BILATERAL_10BP,20260825,20260909,qlib_bin_1min,lake_index_is_bar_start_wallclock,n/a_book_pool_day_close_chase,20997829.485809036,-0.0001033578186173667,-0.0017479036136753834,1,OK,D:\exports\batch4_fullstrat_hooks_d_20260921b\v10\runner_artifacts\slip_20bp_fullstrat\book_version10_20260825_20260909,H2_Q2_research_replay; UNFILLED and all-cash NAV valid
