engine,strategy,cell_id,clock,slip_bp_per_side,fee_schedule,start,end,access,bar_label_semantics,daily_entry_source,final_equity,total_return,max_drawdown,within_engine_rank,status,artifact_dir,note
Book,version9,clock_next_open_fullstrat,next_tradable_open_research,0,DEFAULT_SCHEDULE=BILATERAL_10BP,20260825,20260909,qlib_bin_1min,lake_index_is_bar_start_wallclock,n/a_book_pool_day_close_chase,21000000.0,0.0,0.0,1,OK,D:\exports\batch4_fullstrat_hooks_d_20260921b\v9\runner_artifacts\clock_next_open_fullstrat\book_version9_20260825_20260909,H2_Q2_research_replay; UNFILLED and all-cash NAV valid
Book,version9,slip_5bp_fullstrat,production_default,5,DEFAULT_SCHEDULE=BILATERAL_10BP,20260825,20260909,qlib_bin_1min,lake_index_is_bar_start_wallclock,n/a_book_pool_day_close_chase,21051530.530446403,0.002453834783161968,-0.001964193052529928,1,OK,D:\exports\batch4_fullstrat_hooks_d_20260921b\v9\runner_artifacts\slip_5bp_fullstrat\book_version9_20260825_20260909,H2_Q2_research_replay; UNFILLED and all-cash NAV valid
Book,version9,slip_10bp_fullstrat,production_default,10,DEFAULT_SCHEDULE=BILATERAL_10BP,20260825,20260909,qlib_bin_1min,lake_index_is_bar_start_wallclock,n/a_book_pool_day_close_chase,21049802.365745895,0.002371541225995033,-0.0019968267374191884,1,OK,D:\exports\batch4_fullstrat_hooks_d_20260921b\v9\runner_artifacts\slip_10bp_fullstrat\book_version9_20260825_20260909,H2_Q2_research_replay; UNFILLED and all-cash NAV valid
Book,version9,slip_20bp_fullstrat,production_default,20,DEFAULT_SCHEDULE=BILATERAL_10BP,20260825,20260909,qlib_bin_1min,lake_index_is_bar_start_wallclock,n/a_book_pool_day_close_chase,21046420.56548216,0.0022105031181980372,-0.0020598449692958987,1,OK,D:\exports\batch4_fullstrat_hooks_d_20260921b\v9\runner_artifacts\slip_20bp_fullstrat\book_version9_20260825_20260909,H2_Q2_research_replay; UNFILLED and all-cash NAV valid
