engine,strategy,cell_id,clock,slip_bp_per_side,fee_schedule,start,end,access,bar_label_semantics,daily_entry_source,final_equity,total_return,max_drawdown,within_engine_rank,status,artifact_dir,note
Book,version1,baseline_default_clock_fee,production_default,0,DEFAULT_SCHEDULE=BILATERAL_10BP,20260825,20260909,qlib_bin_1min,lake_index_is_bar_start_wallclock,n/a_book_pool_day_close_chase,20893163.02,-0.0051,-0.0052,5,OK,backtest\research\exports\minute_sensitivity_b_20260920\batch4_fullstrat\runner_artifacts\book_version1_20260825_20260909,ok
Book,version2,baseline_default_clock_fee,production_default,0,DEFAULT_SCHEDULE=BILATERAL_10BP,20260825,20260909,qlib_bin_1min,lake_index_is_bar_start_wallclock,n/a_book_pool_day_close_chase,20898334.86,-0.0048,-0.0051,4,OK,backtest\research\exports\minute_sensitivity_b_20260920\batch4_fullstrat\runner_artifacts\book_version2_20260825_20260909,ok
Book,version3,baseline_default_clock_fee,production_default,0,DEFAULT_SCHEDULE=BILATERAL_10BP,20260825,20260909,qlib_bin_1min,lake_index_is_bar_start_wallclock,n/a_book_pool_day_close_chase,20913096.26,-0.0040999999999999995,-0.0051,3,OK,backtest\research\exports\minute_sensitivity_b_20260920\batch4_fullstrat\runner_artifacts\book_version3_20260825_20260909,ok
Book,version4,baseline_default_clock_fee,production_default,0,DEFAULT_SCHEDULE=BILATERAL_10BP,20260825,20260909,qlib_bin_1min,lake_index_is_bar_start_wallclock,n/a_book_pool_day_close_chase,20842364.89,-0.0075,-0.0089,7,OK,backtest\research\exports\minute_sensitivity_b_20260920\batch4_fullstrat\runner_artifacts\book_version4_20260825_20260909,ok
Book,version5,baseline_default_clock_fee,production_default,0,DEFAULT_SCHEDULE=BILATERAL_10BP,20260825,20260909,qlib_bin_1min,lake_index_is_bar_start_wallclock,n/a_book_pool_day_close_chase,20956592.18,-0.0021,-0.0029,2,OK,backtest\research\exports\minute_sensitivity_b_20260920\batch4_fullstrat\runner_artifacts\book_version5_20260825_20260909,ok
Book,version6,baseline_default_clock_fee,production_default,0,DEFAULT_SCHEDULE=BILATERAL_10BP,20260825,20260909,qlib_bin_1min,lake_index_is_bar_start_wallclock,n/a_book_pool_day_close_chase,20879046.33,-0.0058,-0.005699999999999999,6,OK,backtest\research\exports\minute_sensitivity_b_20260920\batch4_fullstrat\runner_artifacts\book_version6_20260825_20260909,ok
Book,version8,baseline_default_clock_fee,production_default,0,DEFAULT_SCHEDULE=BILATERAL_10BP,20260825,20260909,qlib_bin_1min,lake_index_is_bar_start_wallclock,n/a_book_pool_day_close_chase,21104115.65,0.005,-0.0139,1,OK,backtest\research\exports\minute_sensitivity_b_20260920\batch4_fullstrat\runner_artifacts\book_version8_20260825_20260909,ok
Book,version9,baseline_default_clock_fee,production_default,0,DEFAULT_SCHEDULE=BILATERAL_10BP,20260825,20260909,qlib_bin_1min,lake_index_is_bar_start_wallclock,n/a_book_pool_day_close_chase,,,,,DATA_GAP,backtest\research\exports\minute_sensitivity_b_20260920\batch4_fullstrat\runner_artifacts\book_version9_20260825_20260909,"rc=1; stderr_tail=version9 requires --pool-dir from export_strategy9_pool.py; refusing stock_pool/: stock_pool
"
Book,version10,baseline_default_clock_fee,production_default,0,DEFAULT_SCHEDULE=BILATERAL_10BP,20260825,20260909,qlib_bin_1min,lake_index_is_bar_start_wallclock,n/a_book_pool_day_close_chase,,,,,DATA_GAP,backtest\research\exports\minute_sensitivity_b_20260920\batch4_fullstrat\runner_artifacts\book_version10_20260825_20260909,"rc=1; stderr_tail=version10 requires --pool-dir from export_strategy9_pool.py; refusing stock_pool/: stock_pool
"
