engine,strategy,cell_id,clock,slip_bp_per_side,fee_schedule,start,end,access,bar_label_semantics,daily_entry_source,final_equity,total_return,max_drawdown,within_engine_rank,status,artifact_dir,note
v7,strategy7,clock_next_open_fullstrat,next_tradable_open_research,0,DEFAULT_SCHEDULE=BILATERAL_10BP,20260825,20260909,qlib_bin_1min,lake_index_is_bar_start_wallclock,n/a_v7_turtle,21000000.0,0.0,0.0,1,OK,D:\exports\batch4_fullstrat_hooks_d_20260921b\core\runner_artifacts\clock_next_open_fullstrat\v7_strategy7_20260825_20260909,H2_Q2_research_replay; UNFILLED and all-cash NAV valid
v7,strategy7,slip_5bp_fullstrat,production_default,5,DEFAULT_SCHEDULE=BILATERAL_10BP,20260825,20260909,qlib_bin_1min,lake_index_is_bar_start_wallclock,n/a_v7_turtle,20888926.133852407,-0.005289231721313903,-0.008953602946315087,1,OK,D:\exports\batch4_fullstrat_hooks_d_20260921b\core\runner_artifacts\slip_5bp_fullstrat\v7_strategy7_20260825_20260909,H2_Q2_research_replay; UNFILLED and all-cash NAV valid
v7,strategy7,slip_10bp_fullstrat,production_default,10,DEFAULT_SCHEDULE=BILATERAL_10BP,20260825,20260909,qlib_bin_1min,lake_index_is_bar_start_wallclock,n/a_v7_turtle,20882857.42749297,-0.005578217738430036,-0.009217363990877359,1,OK,D:\exports\batch4_fullstrat_hooks_d_20260921b\core\runner_artifacts\slip_10bp_fullstrat\v7_strategy7_20260825_20260909,H2_Q2_research_replay; UNFILLED and all-cash NAV valid
v7,strategy7,slip_20bp_fullstrat,production_default,20,DEFAULT_SCHEDULE=BILATERAL_10BP,20260825,20260909,qlib_bin_1min,lake_index_is_bar_start_wallclock,n/a_v7_turtle,20883082.720336474,-0.00556748950778696,-0.008826469560831107,1,OK,D:\exports\batch4_fullstrat_hooks_d_20260921b\core\runner_artifacts\slip_20bp_fullstrat\v7_strategy7_20260825_20260909,H2_Q2_research_replay; UNFILLED and all-cash NAV valid
