engine,case_id,symbol,candidate_start,candidate_end,submit_at,candidate_px,previous_close,outcome,candidate_shares
v7,002025.SZ_20260917_885_trial,002025.SZ,2026-09-17 14:46:00,2026-09-17 14:47:00,2026-09-17 14:46:00.001000,73.25,70.36000061035156,before_submit,0
v7,002025.SZ_20260917_885_trial,002025.SZ,2026-09-17 14:47:00,2026-09-17 14:48:00,2026-09-17 14:46:00.001000,73.33000183105469,70.36000061035156,FILLED,2700
v7,002025.SZ_20260917_885_four,002025.SZ,2026-09-17 14:46:00,2026-09-17 14:47:00,2026-09-17 14:46:00.001000,73.25,70.36000061035156,before_submit,0
v7,002025.SZ_20260917_885_four,002025.SZ,2026-09-17 14:47:00,2026-09-17 14:48:00,2026-09-17 14:46:00.001000,73.33000183105469,70.36000061035156,FILLED,2700
v7,002025.SZ_20260917_885_six,002025.SZ,2026-09-17 14:46:00,2026-09-17 14:47:00,2026-09-17 14:46:00.001000,73.25,70.36000061035156,before_submit,0
v7,002025.SZ_20260917_885_six,002025.SZ,2026-09-17 14:47:00,2026-09-17 14:48:00,2026-09-17 14:46:00.001000,73.33000183105469,70.36000061035156,FILLED,2700
v7,002025.SZ_20260917_894_trial,002025.SZ,2026-09-17 14:55:00,2026-09-17 14:56:00,2026-09-17 14:55:00.001000,73.19999694824219,70.36000061035156,before_submit,0
v7,002025.SZ_20260917_894_trial,002025.SZ,2026-09-17 14:56:00,2026-09-17 14:57:00,2026-09-17 14:55:00.001000,73.18000030517578,70.36000061035156,FILLED,2700
v7,002025.SZ_20260917_894_four,002025.SZ,2026-09-17 14:55:00,2026-09-17 14:56:00,2026-09-17 14:55:00.001000,73.19999694824219,70.36000061035156,before_submit,0
v7,002025.SZ_20260917_894_four,002025.SZ,2026-09-17 14:56:00,2026-09-17 14:57:00,2026-09-17 14:55:00.001000,73.18000030517578,70.36000061035156,FILLED,2700
v7,002025.SZ_20260917_894_six,002025.SZ,2026-09-17 14:55:00,2026-09-17 14:56:00,2026-09-17 14:55:00.001000,73.19999694824219,70.36000061035156,before_submit,0
v7,002025.SZ_20260917_894_six,002025.SZ,2026-09-17 14:56:00,2026-09-17 14:57:00,2026-09-17 14:55:00.001000,73.18000030517578,70.36000061035156,FILLED,2700
v7,002025.SZ_20260918_884_trial,002025.SZ,2026-09-18 14:45:00,2026-09-18 14:46:00,2026-09-18 14:45:00.001000,74.44000244140625,73.16000366210938,before_submit,0
v7,002025.SZ_20260918_884_trial,002025.SZ,2026-09-18 14:46:00,2026-09-18 14:47:00,2026-09-18 14:45:00.001000,74.31999969482422,73.16000366210938,FILLED,2600
v7,002025.SZ_20260918_884_four,002025.SZ,2026-09-18 14:45:00,2026-09-18 14:46:00,2026-09-18 14:45:00.001000,74.44000244140625,73.16000366210938,before_submit,0
v7,002025.SZ_20260918_884_four,002025.SZ,2026-09-18 14:46:00,2026-09-18 14:47:00,2026-09-18 14:45:00.001000,74.31999969482422,73.16000366210938,FILLED,2600
v7,002025.SZ_20260918_884_six,002025.SZ,2026-09-18 14:45:00,2026-09-18 14:46:00,2026-09-18 14:45:00.001000,74.44000244140625,73.16000366210938,before_submit,0
v7,002025.SZ_20260918_884_six,002025.SZ,2026-09-18 14:46:00,2026-09-18 14:47:00,2026-09-18 14:45:00.001000,74.31999969482422,73.16000366210938,FILLED,2600
v7,002025.SZ_20260918_885_trial,002025.SZ,2026-09-18 14:46:00,2026-09-18 14:47:00,2026-09-18 14:46:00.001000,74.31999969482422,73.16000366210938,before_submit,0
v7,002025.SZ_20260918_885_trial,002025.SZ,2026-09-18 14:47:00,2026-09-18 14:48:00,2026-09-18 14:46:00.001000,74.33999633789062,73.16000366210938,FILLED,2600
v7,002025.SZ_20260918_885_four,002025.SZ,2026-09-18 14:46:00,2026-09-18 14:47:00,2026-09-18 14:46:00.001000,74.31999969482422,73.16000366210938,before_submit,0
v7,002025.SZ_20260918_885_four,002025.SZ,2026-09-18 14:47:00,2026-09-18 14:48:00,2026-09-18 14:46:00.001000,74.33999633789062,73.16000366210938,FILLED,2600
v7,002025.SZ_20260918_885_six,002025.SZ,2026-09-18 14:46:00,2026-09-18 14:47:00,2026-09-18 14:46:00.001000,74.31999969482422,73.16000366210938,before_submit,0
v7,002025.SZ_20260918_885_six,002025.SZ,2026-09-18 14:47:00,2026-09-18 14:48:00,2026-09-18 14:46:00.001000,74.33999633789062,73.16000366210938,FILLED,2600
v7,002025.SZ_20260918_894_trial,002025.SZ,2026-09-18 14:55:00,2026-09-18 14:56:00,2026-09-18 14:55:00.001000,74.30000305175781,73.16000366210938,before_submit,0
v7,002025.SZ_20260918_894_trial,002025.SZ,2026-09-18 14:56:00,2026-09-18 14:57:00,2026-09-18 14:55:00.001000,74.19000244140625,73.16000366210938,FILLED,2600
v7,002025.SZ_20260918_894_four,002025.SZ,2026-09-18 14:55:00,2026-09-18 14:56:00,2026-09-18 14:55:00.001000,74.30000305175781,73.16000366210938,before_submit,0
