engine,case_id,symbol,scope,axis,volume_status,raw_volume,volume_unit,available_at,bucket,note,cap_on,participation_rate,status,reason,action,shares,fill_px,cash_after,production_replay,full_replay_status,full_strategy_nav,full_strategy_return,max_drawdown,strategy_rank,strategy_rank_delta
v7,000021.SZ_20260917_885_trial,000021.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,886,reader_drops_volume_no_audited_units_or_availability,False,,NO_FILL,none,none,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
v7,000021.SZ_20260917_885_trial,000021.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,886,reader_drops_volume_no_audited_units_or_availability,True,0.1,NO_FILL,none,none,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
v7,000021.SZ_20260917_885_four,000021.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,886,reader_drops_volume_no_audited_units_or_availability,False,,NO_FILL,none,none,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
v7,000021.SZ_20260917_885_four,000021.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,886,reader_drops_volume_no_audited_units_or_availability,True,0.1,NO_FILL,none,none,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
v7,000021.SZ_20260917_885_six,000021.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,886,reader_drops_volume_no_audited_units_or_availability,False,,NO_FILL,none,none,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
v7,000021.SZ_20260917_885_six,000021.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,886,reader_drops_volume_no_audited_units_or_availability,True,0.1,NO_FILL,none,none,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
v7,000021.SZ_20260917_885_eight,000021.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,886,reader_drops_volume_no_audited_units_or_availability,False,,NO_FILL,none,none,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
v7,000021.SZ_20260917_885_eight,000021.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,886,reader_drops_volume_no_audited_units_or_availability,True,0.1,NO_FILL,none,none,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
v7,000021.SZ_20260917_894_trial,000021.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,895,reader_drops_volume_no_audited_units_or_availability,False,,NO_FILL,none,none,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
v7,000021.SZ_20260917_894_trial,000021.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,895,reader_drops_volume_no_audited_units_or_availability,True,0.1,NO_FILL,none,none,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
v7,000021.SZ_20260917_894_four,000021.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,895,reader_drops_volume_no_audited_units_or_availability,False,,NO_FILL,none,none,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
v7,000021.SZ_20260917_894_four,000021.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,895,reader_drops_volume_no_audited_units_or_availability,True,0.1,NO_FILL,none,none,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
v7,000021.SZ_20260917_894_six,000021.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,895,reader_drops_volume_no_audited_units_or_availability,False,,NO_FILL,none,none,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
v7,000021.SZ_20260917_894_six,000021.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,895,reader_drops_volume_no_audited_units_or_availability,True,0.1,NO_FILL,none,none,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
v7,000021.SZ_20260917_894_eight,000021.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,895,reader_drops_volume_no_audited_units_or_availability,False,,NO_FILL,none,none,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
v7,000021.SZ_20260917_894_eight,000021.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,895,reader_drops_volume_no_audited_units_or_availability,True,0.1,NO_FILL,none,none,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
Book,000021.SZ_20260918_585_pending_chase,000021.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,586,reader_drops_volume_no_audited_units_or_availability,False,,NO_FILL,abandon,abandon,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
Book,000021.SZ_20260918_585_pending_chase,000021.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,586,reader_drops_volume_no_audited_units_or_availability,True,0.1,NO_FILL,abandon,abandon,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
v7,000021.SZ_20260918_884_trial,000021.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,885,reader_drops_volume_no_audited_units_or_availability,False,,FILLED,buy:add_a104,add_a104,5400,36.939998626708984,800324.5314231872,DATA_GAP,DATA_GAP,,,,,
v7,000021.SZ_20260918_884_trial,000021.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,885,reader_drops_volume_no_audited_units_or_availability,True,0.1,NO_FILL,skip_volume_unavailable:missing_or_untyped,add_a104,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
v7,000021.SZ_20260918_884_four,000021.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,885,reader_drops_volume_no_audited_units_or_availability,False,,NO_FILL,none,none,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
v7,000021.SZ_20260918_884_four,000021.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,885,reader_drops_volume_no_audited_units_or_availability,True,0.1,NO_FILL,none,none,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
v7,000021.SZ_20260918_884_six,000021.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,885,reader_drops_volume_no_audited_units_or_availability,False,,NO_FILL,none,none,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
v7,000021.SZ_20260918_884_six,000021.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,885,reader_drops_volume_no_audited_units_or_availability,True,0.1,NO_FILL,none,none,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
v7,000021.SZ_20260918_884_eight,000021.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,885,reader_drops_volume_no_audited_units_or_availability,False,,NO_FILL,none,none,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
v7,000021.SZ_20260918_884_eight,000021.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,885,reader_drops_volume_no_audited_units_or_availability,True,0.1,NO_FILL,none,none,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
v7,000021.SZ_20260918_885_trial,000021.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,886,reader_drops_volume_no_audited_units_or_availability,False,,FILLED,buy:add_a104,add_a104,5400,36.91999816894531,800432.641897583,DATA_GAP,DATA_GAP,,,,,
v7,000021.SZ_20260918_885_trial,000021.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,886,reader_drops_volume_no_audited_units_or_availability,True,0.1,NO_FILL,skip_volume_unavailable:missing_or_untyped,add_a104,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
v7,000021.SZ_20260918_885_four,000021.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,886,reader_drops_volume_no_audited_units_or_availability,False,,NO_FILL,none,none,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
v7,000021.SZ_20260918_885_four,000021.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,886,reader_drops_volume_no_audited_units_or_availability,True,0.1,NO_FILL,none,none,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
